Date Time, Water Level, I, L 
2018-01-01 00:00,245.305,0,0
2018-01-02 00:00,245.269,0,0
2018-01-03 00:00,245.230,0,0
2018-01-04 00:00,245.328,0,0
2018-01-05 00:00,245.374,0,0
2018-01-06 00:00,245.377,0,0
2018-01-07 00:00,245.240,0,0
2018-01-08 00:00,245.217,0,0
2018-01-09 00:00,245.276,0,0
2018-01-10 00:00,245.256,0,0
2018-01-11 00:00,245.243,0,0
2018-01-12 00:00,245.427,0,0
2018-01-13 00:00,245.564,0,0
2018-01-14 00:00,245.541,0,0
2018-01-15 00:00,245.528,0,0
2018-01-16 00:00,245.571,0,0
2018-01-17 00:00,245.574,0,0
2018-01-18 00:00,245.577,0,0
2018-01-19 00:00,245.610,0,0
2018-01-20 00:00,245.597,0,0
2018-01-21 00:00,245.640,0,0
2018-01-22 00:00,245.676,0,0
2018-01-23 00:00,245.653,0,0
2018-01-24 00:00,245.771,0,0
2018-01-25 00:00,245.748,0,0
2018-01-26 00:00,245.712,0,0
2018-01-27 00:00,245.692,0,0
2018-01-28 00:00,245.751,0,0
2018-01-29 00:00,245.778,0,0
2018-01-30 00:00,245.807,0,0
2018-01-31 00:00,245.732,0,0
2018-02-01 00:00,245.758,0,0
2018-02-02 00:00,245.801,0,0
2018-02-03 00:00,245.709,0,0
2018-02-04 00:00,245.709,0,0
2018-02-05 00:00,245.778,0,0
2018-02-06 00:00,245.705,0,0
2018-02-07 00:00,245.725,0,0
2018-02-08 00:00,245.715,0,0
2018-02-09 00:00,245.663,0,0
2018-02-10 00:00,245.719,0,0
2018-02-11 00:00,245.676,0,0
2018-02-12 00:00,245.696,0,0
2018-02-13 00:00,245.646,0,0
2018-02-14 00:00,245.617,0,0
2018-02-15 00:00,245.614,0,0
2018-02-16 00:00,245.643,0,0
2018-02-17 00:00,245.623,0,0
2018-02-18 00:00,245.584,0,0
2018-02-19 00:00,245.577,0,0
2018-02-20 00:00,245.633,0,0
2018-02-21 00:00,245.732,0,0
2018-02-22 00:00,245.751,0,0
2018-02-23 00:00,245.755,0,0
2018-02-24 00:00,245.784,0,0
2018-02-25 00:00,245.764,0,0
2018-02-26 00:00,245.863,0,0
2018-02-27 00:00,245.873,0,0
2018-02-28 00:00,245.889,0,0
2018-03-01 00:00,245.935,0,0
2018-03-02 00:00,246.017,0,0
2018-03-03 00:00,245.981,0,0
2018-03-04 00:00,245.978,0,0
2018-03-05 00:00,245.948,0,0
2018-03-06 00:00,245.912,0,0
2018-03-07 00:00,245.919,0,0
2018-03-08 00:00,245.906,0,0
2018-03-09 00:00,245.945,0,0
2018-03-10 00:00,245.948,0,0
2018-03-11 00:00,245.942,0,0
2018-03-12 00:00,245.915,0,0
2018-03-13 00:00,245.928,0,0
2018-03-14 00:00,245.958,0,0
2018-03-15 00:00,245.922,0,0
2018-03-16 00:00,245.928,0,0
2018-03-17 00:00,245.902,0,0
2018-03-18 00:00,245.837,0,0
2018-03-19 00:00,245.820,0,0
2018-03-20 00:00,245.791,0,0
2018-03-21 00:00,245.745,0,0
2018-03-22 00:00,245.728,0,0
2018-03-23 00:00,245.719,0,0
2018-03-24 00:00,245.725,0,0
